domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
MatchCellar-impossible,instance_02,grounding,0.00,5416,true,okay,
MatchCellar-impossible,instance_02,verified-encoder,0.00,5364,true,okay,
MatchCellar-impossible,instance_03,grounding,0.00,5160,true,okay,
MatchCellar-impossible,instance_03,verified-encoder,0.01,5460,true,okay,
MatchCellar-impossible,instance_04,grounding,0.00,5404,true,okay,
MatchCellar-impossible,instance_04,verified-encoder,0.02,9040,true,okay,
MatchCellar-impossible,instance_05,grounding,0.00,5336,true,okay,
MatchCellar-impossible,instance_05,verified-encoder,0.03,14280,true,okay,
MatchCellar-impossible,instance_06,grounding,0.00,5416,true,okay,
MatchCellar-impossible,instance_06,verified-encoder,0.06,35932,true,okay,
MatchCellar-impossible,instance_07,grounding,0.00,5544,true,okay,
MatchCellar-impossible,instance_07,verified-encoder,0.06,39108,true,okay,
MatchCellar-impossible,instance_08,grounding,0.00,5204,true,okay,
MatchCellar-impossible,instance_08,verified-encoder,0.12,90056,true,okay,
MatchCellar-impossible,instance_09,grounding,0.00,5272,true,okay,
MatchCellar-impossible,instance_09,verified-encoder,0.22,144488,true,okay,
MatchCellar-impossible,instance_10,grounding,0.00,5536,true,okay,
MatchCellar-impossible,instance_10,verified-encoder,0.40,266088,true,okay,
MatchCellar-impossible,instance_solvable,grounding,0.00,5364,true,okay,
MatchCellar-impossible,instance_solvable,verified-encoder,0.00,5556,true,okay,
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_2,grounding,0.00,5392,true,okay,
sync-impossible,instance_1_2,verified-encoder,0.01,5364,true,okay,
sync-impossible,instance_1_3,grounding,0.00,5388,true,okay,
sync-impossible,instance_1_3,verified-encoder,0.01,5356,true,okay,
sync-impossible,instance_1_4,grounding,0.00,5076,true,okay,
sync-impossible,instance_1_4,verified-encoder,0.01,7868,true,okay,
sync-impossible,instance_1_5,grounding,0.00,5324,true,okay,
sync-impossible,instance_1_5,verified-encoder,0.01,8172,true,okay,
sync-impossible,instance_1_6,grounding,0.00,5540,true,okay,
sync-impossible,instance_1_6,verified-encoder,0.01,8368,true,okay,
sync-impossible,instance_1_7,grounding,0.00,5260,true,okay,
sync-impossible,instance_1_7,verified-encoder,0.01,8316,true,okay,
sync-impossible,instance_1_8,grounding,0.00,5544,true,okay,
sync-impossible,instance_1_8,verified-encoder,0.01,8092,true,okay,
sync-impossible,instance_1_9,grounding,0.00,5040,true,okay,
sync-impossible,instance_1_9,verified-encoder,0.02,7968,true,okay,
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
driverlog,instance_1_1_1_1,grounding,0.00,5360,true,okay,
driverlog,instance_1_1_1_1,verified-encoder,0.01,5416,true,okay,
driverlog,instance_1_1_1_2,grounding,0.00,5336,true,okay,
driverlog,instance_1_1_1_2,verified-encoder,0.01,8664,true,okay,
driverlog,instance_1_1_1_3,grounding,0.00,5344,true,okay,
driverlog,instance_1_1_1_3,verified-encoder,0.02,10412,true,okay,
driverlog,instance_1_1_2_1,grounding,0.00,5280,true,okay,
driverlog,instance_1_1_2_1,verified-encoder,0.01,8052,true,okay,
driverlog,instance_1_1_2_2,grounding,0.00,5544,true,okay,
driverlog,instance_1_1_2_2,verified-encoder,0.02,10296,true,okay,
driverlog,instance_1_1_2_3,grounding,0.00,5340,true,okay,
driverlog,instance_1_1_2_3,verified-encoder,0.02,10460,true,okay,
driverlog,instance_1_1_3_1,grounding,0.00,5364,true,okay,
driverlog,instance_1_1_3_1,verified-encoder,0.03,9704,true,okay,
driverlog,instance_1_1_3_2,grounding,0.00,5280,true,okay,
driverlog,instance_1_1_3_2,verified-encoder,0.02,10476,true,okay,
driverlog,instance_1_1_3_3,grounding,0.00,5488,true,okay,
driverlog,instance_1_1_3_3,verified-encoder,0.05,14472,true,okay,
driverlog,instance_1_2_1_1,grounding,0.00,5364,true,okay,
driverlog,instance_1_2_1_1,verified-encoder,0.01,8412,true,okay,
driverlog,instance_1_2_1_2,grounding,0.00,5416,true,okay,
driverlog,instance_1_2_1_2,verified-encoder,0.02,10116,true,okay,
driverlog,instance_1_2_1_3,grounding,0.00,5096,true,okay,
driverlog,instance_1_2_1_3,verified-encoder,0.05,14784,true,okay,
driverlog,instance_1_2_2_1,grounding,0.00,5364,true,okay,
driverlog,instance_1_2_2_1,verified-encoder,0.02,10216,true,okay,
driverlog,instance_1_2_2_2,grounding,0.00,5532,true,okay,
driverlog,instance_1_2_2_2,verified-encoder,0.04,14548,true,okay,
driverlog,instance_1_2_2_3,grounding,0.00,5532,true,okay,
driverlog,instance_1_2_2_3,verified-encoder,0.06,15680,true,okay,
driverlog,instance_1_2_3_1,grounding,0.00,5344,true,okay,
driverlog,instance_1_2_3_1,verified-encoder,0.05,14840,true,okay,
driverlog,instance_1_2_3_2,grounding,0.00,5392,true,okay,
driverlog,instance_1_2_3_2,verified-encoder,0.06,14892,true,okay,
driverlog,instance_1_2_3_3,grounding,0.00,5180,true,okay,
driverlog,instance_1_2_3_3,verified-encoder,0.10,21304,true,okay,
driverlog,instance_1_3_1_1,grounding,0.00,5392,true,okay,
driverlog,instance_1_3_1_1,verified-encoder,0.02,9952,true,okay,
driverlog,instance_1_3_1_2,grounding,0.00,5412,true,okay,
driverlog,instance_1_3_1_2,verified-encoder,0.04,14300,true,okay,
driverlog,instance_1_3_1_3,grounding,0.00,5328,true,okay,
