domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
MatchCellar-impossible,instance_02,tck-aLUcovreach,0.01,11076,true,okay,
MatchCellar-impossible,instance_02,tck-covreach,0.01,9620,true,okay,
MatchCellar-impossible,instance_02-ground,nuXmv,0.27,56320,true,okay,
MatchCellar-impossible,instance_02-ground,UPPAAL,0.39,23316,true,okay,
MatchCellar-impossible,instance_02-cert-conv,shell-script,0.09,16032,true,okay,
MatchCellar-impossible,instance_02-muntac-cert-check,muntac,0.04,26156,true,okay,
MatchCellar-impossible,instance_02-ground,TAMER-ctp,0.01,5288,true,okay,
MatchCellar-impossible,instance_02-ground,TAMER-ftp,0.02,5340,true,okay,
MatchCellar-impossible,instance_02,tfd,,,false,out of memory,|
MatchCellar-impossible,instance_02,OPTIC,0.04,12556,true,okay,
MatchCellar-impossible,instance_02-ground,POPF,0.02,11744,true,okay,
