domain,instance,solver,time(s),memory(kB),identified as unsolvable,status,
MatchCellar-impossible,instance_02,tck-aLUcovreach,0.01,11076,true,okay,
MatchCellar-impossible,instance_02,tck-covreach,0.01,9620,true,okay,
MatchCellar-impossible,instance_02-ground,nuXmv,0.27,56320,true,okay,
MatchCellar-impossible,instance_02-ground,UPPAAL,0.39,23316,true,okay,
MatchCellar-impossible,instance_02-cert-conv,shell-script,0.09,16032,true,okay,
MatchCellar-impossible,instance_02-muntac-cert-check,muntac,0.04,26156,true,okay,
MatchCellar-impossible,instance_02-ground,TAMER-ctp,0.01,5288,true,okay,
MatchCellar-impossible,instance_02-ground,TAMER-ftp,0.02,5340,true,okay,
MatchCellar-impossible,instance_02,OPTIC,0.04,12556,true,okay,
MatchCellar-impossible,instance_03,tck-aLUcovreach,0.02,14500,true,okay,
MatchCellar-impossible,instance_03,tck-covreach,0.02,14144,true,okay,
MatchCellar-impossible,instance_03-ground,nuXmv,0.68,62472,true,okay,
MatchCellar-impossible,instance_03-ground,UPPAAL,0.05,19168,true,okay,
MatchCellar-impossible,instance_03-cert-conv,shell-script,0.20,19944,true,okay,
MatchCellar-impossible,instance_03-muntac-cert-check,muntac,0.10,54548,true,okay,
MatchCellar-impossible,instance_03-ground,TAMER-ctp,0.05,4964,true,okay,
MatchCellar-impossible,instance_03-ground,TAMER-ftp,0.05,4416,true,okay,
MatchCellar-impossible,instance_03,OPTIC,0.04,12060,true,okay,
MatchCellar-impossible,instance_04,tck-aLUcovreach,12.71,131012,true,okay,
MatchCellar-impossible,instance_04,tck-covreach,107.72,238728,true,okay,
MatchCellar-impossible,instance_04-ground,nuXmv,,,false,out of time,
MatchCellar-impossible,instance_04-ground,UPPAAL,217.72,1039328,true,okay,
MatchCellar-impossible,instance_04-cert-conv,shell-script,109.23,5972744,true,okay,
MatchCellar-impossible,instance_04-muntac-cert-check,muntac,114.11,32756380,true,okay,
MatchCellar-impossible,instance_04-ground,TAMER-ctp,,,false,out of time,
MatchCellar-impossible,instance_04-ground,TAMER-ftp,,,false,out of time,
MatchCellar-impossible,instance_04,OPTIC,58.71,2378356,true,okay,
MatchCellar-impossible,instance_05,tck-aLUcovreach,,,false,out of time,
MatchCellar-impossible,instance_05,tck-covreach,,,false,out of time,
MatchCellar-impossible,instance_05-ground,nuXmv,,,false,out of time,
