domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_2,tck-aLUcovreach,0.02,10324,true,okay,
sync-impossible,instance_1_2,tck-covreach,0.01,9940,true,okay,
sync-impossible,instance_1_2-ground,nuXmv,0.20,58232,true,okay,
sync-impossible,instance_1_2-ground,UPPAAL,0.47,23540,true,okay,
sync-impossible,instance_1_2-cert-conv,shell-script,0.07,15284,true,okay,
sync-impossible,instance_1_2-muntac-cert-check,muntac,0.04,23220,true,okay,
sync-impossible,instance_1_2-ground,TAMER-ctp,0.01,5100,true,okay,
sync-impossible,instance_1_2-ground,TAMER-ftp,,,false,137,|environment: line 1: 643012 Killed                     ./tamer solve -a $mode -t constant-promoter -P $problem $domain
Command exited with non-zero status 137
%%%137%157.65%21962780
sync-impossible,instance_1_2,tfd,,,false,out of memory,|
sync-impossible,instance_1_2,OPTIC,,,false,137,|Number of literals: 8 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 50% of the ground temporal actions in this problem are compression-safe Initial heuristic = 6.000, admissible cost estimate 0.000 b (5.000 | 2.000)b (4.000 | 48.001)b (3.000 | 138.003) Resorting to best-first search Running WA* with W = 5.000, not restarting with goal states b (5.000 | 2.000)b (4.000 | 48.001)b (4.000 | 44.001)b (3.000 | 138.003)b (3.000 | 134.003)
Command exited with non-zero status 137
%%%137%1164.10%35595968
sync-impossible,instance_1_2-ground,POPF,,,false,137,|Warnings encountered when parsing Domain/Problem File ----------------------------------------------------- The supplied domain/problem file appear to violate part of the PDDL language specification. Specifically: Errors: 0, warnings: 12 ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 18: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 19: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 36: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 41: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 42: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 57: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 62: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 63: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 73: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 78: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 79: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl: line: 89: Warning: Undeclared requirement :durative-actions The planner will continue, but you may wish to fix your files accordingly Number of literals: 8 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 50% of the ground temporal actions in this problem are compression-safe Initial heuristic = 6.000 b (5.000 | 2.000)b (4.000 | 48.001)b (3.000 | 92.002) Resorting to best-first search b (5.000 | 2.000)b (4.000 | 48.001)b (4.000 | 44.001)b (3.000 | 92.002)
Command exited with non-zero status 137
%%%137%1188.45%27314804
sync-impossible,instance_1_2,nextflap,0.13,4932,true,okay,
sync-impossible,instance_1_3,tck-aLUcovreach,0.08,20040,true,okay,
sync-impossible,instance_1_3,tck-covreach,0.15,19420,true,okay,
sync-impossible,instance_1_3-ground,nuXmv,0.33,59648,true,okay,
sync-impossible,instance_1_3-ground,UPPAAL,0.10,19904,true,okay,
sync-impossible,instance_1_3-cert-conv,shell-script,0.67,47764,true,okay,
sync-impossible,instance_1_3-muntac-cert-check,muntac,0.39,157184,true,okay,
sync-impossible,instance_1_3-ground,TAMER-ctp,0.04,4192,true,okay,
sync-impossible,instance_1_3-ground,TAMER-ftp,,,false,137,|environment: line 1: 3875478 Killed                     ./tamer solve -a $mode -t constant-promoter -P $problem $domain
Command exited with non-zero status 137
%%%137%378.90%47326324
sync-impossible,instance_1_3,tfd,,,false,out of memory,|
sync-impossible,instance_1_3,OPTIC,,,false,137,|Number of literals: 10 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 60% of the ground temporal actions in this problem are compression-safe Initial heuristic = 7.000, admissible cost estimate 0.000 b (6.000 | 2.000)b (5.000 | 2.001)b (4.000 | 41.003)b (3.000 | 113.006) Resorting to best-first search Running WA* with W = 5.000, not restarting with goal states b (6.000 | 2.000)b (5.000 | 2.001)b (4.000 | 41.003)b (4.000 | 35.003)b (3.000 | 113.006)b (3.000 | 107.006)
Command exited with non-zero status 137
%%%137%1277.99%32289024
sync-impossible,instance_1_3-ground,POPF,,,false,out of time,|
sync-impossible,instance_1_3,nextflap,0.18,4740,true,okay,
sync-impossible,instance_1_4,tck-aLUcovreach,1.51,36244,true,okay,
sync-impossible,instance_1_4,tck-covreach,4.81,52100,true,okay,
sync-impossible,instance_1_4-ground,nuXmv,4.19,104928,true,okay,
sync-impossible,instance_1_4-ground,UPPAAL,1.75,72932,true,okay,
sync-impossible,instance_1_4-cert-conv,shell-script,9.85,708776,true,okay,
sync-impossible,instance_1_4-muntac-cert-check,muntac,6.56,1797592,true,okay,
sync-impossible,instance_1_4-ground,TAMER-ctp,0.37,11088,true,okay,
