domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
MatchCellar-impossible,instance_02,python-script,0.04,11736,true,okay,
MatchCellar-impossible,instance_03,python-script,0.01,12112,true,okay,
MatchCellar-impossible,instance_04,python-script,0.01,12132,true,okay,
MatchCellar-impossible,instance_05,python-script,0.02,12644,true,okay,
MatchCellar-impossible,instance_06,python-script,0.05,14292,true,okay,
MatchCellar-impossible,instance_07,python-script,0.06,14316,true,okay,
MatchCellar-impossible,instance_08,python-script,0.11,16556,true,okay,
MatchCellar-impossible,instance_09,python-script,0.18,20368,true,okay,
MatchCellar-impossible,instance_10,python-script,0.31,26940,true,okay,
MatchCellar-impossible,instance_solvable,python-script,0.01,12116,true,okay,
sync-impossible,instance_1_2,python-script,0.01,12132,true,okay,
sync-impossible,instance_1_3,python-script,0.01,12372,true,okay,
sync-impossible,instance_1_4,python-script,0.01,12292,true,okay,
sync-impossible,instance_1_5,python-script,0.01,12420,true,okay,
sync-impossible,instance_1_6,python-script,0.01,12136,true,okay,
sync-impossible,instance_1_7,python-script,0.01,11876,true,okay,
sync-impossible,instance_1_8,python-script,0.01,12424,true,okay,
sync-impossible,instance_1_9,python-script,0.02,12100,true,okay,
driverlog,instance_1_1_1_1,python-script,0.01,11612,true,okay,
driverlog,instance_1_1_1_2,python-script,0.01,12120,true,okay,
driverlog,instance_1_1_1_3,python-script,0.02,12412,true,okay,
driverlog,instance_1_1_2_1,python-script,0.01,12420,true,okay,
driverlog,instance_1_1_2_2,python-script,0.02,12420,true,okay,
driverlog,instance_1_1_2_3,python-script,0.01,12560,true,okay,
driverlog,instance_1_1_3_1,python-script,0.02,12424,true,okay,
driverlog,instance_1_1_3_2,python-script,0.01,12680,true,okay,
driverlog,instance_1_1_3_3,python-script,0.01,12676,true,okay,
driverlog,instance_1_2_1_1,python-script,0.01,12116,true,okay,
driverlog,instance_1_2_1_2,python-script,0.01,12372,true,okay,
driverlog,instance_1_2_1_3,python-script,0.02,12368,true,okay,
driverlog,instance_1_2_2_1,python-script,0.02,12424,true,okay,
driverlog,instance_1_2_2_2,python-script,0.02,12628,true,okay,
driverlog,instance_1_2_2_3,python-script,0.02,12936,true,okay,
driverlog,instance_1_2_3_1,python-script,0.02,12416,true,okay,
driverlog,instance_1_2_3_2,python-script,0.02,12216,true,okay,
driverlog,instance_1_2_3_3,python-script,0.03,12928,true,okay,
driverlog,instance_1_3_1_1,python-script,0.01,12108,true,okay,
driverlog,instance_1_3_1_2,python-script,0.02,12808,true,okay,
driverlog,instance_1_3_1_3,python-script,0.03,13192,true,okay,
driverlog,instance_1_3_2_1,python-script,0.02,12644,true,okay,
driverlog,instance_1_3_2_2,python-script,0.02,12764,true,okay,
driverlog,instance_1_3_2_3,python-script,0.03,13448,true,okay,
driverlog,instance_1_3_3_1,python-script,0.03,12872,true,okay,
driverlog,instance_1_3_3_2,python-script,0.03,13448,true,okay,
driverlog,instance_1_3_3_3,python-script,0.04,13788,true,okay,
driverlog,instance_2_1_1_1,python-script,0.01,12112,true,okay,
driverlog,instance_2_1_1_2,python-script,0.02,12424,true,okay,
driverlog,instance_2_1_1_3,python-script,0.02,12432,true,okay,
driverlog,instance_2_1_2_1,python-script,0.02,12408,true,okay,
driverlog,instance_2_1_2_2,python-script,0.02,12344,true,okay,
driverlog,instance_2_1_2_3,python-script,0.02,12924,true,okay,
driverlog,instance_2_1_3_1,python-script,0.02,12368,true,okay,
