domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
driverlog,instance_1_1_1_1,nextflap,0.06,4788,true,okay,
driverlog,instance_1_1_1_2,nextflap,0.06,5276,true,okay,
driverlog,instance_1_1_1_3,nextflap,0.05,5340,true,okay,
driverlog,instance_1_1_2_1,nextflap,0.06,5396,true,okay,
driverlog,instance_1_1_2_2,nextflap,0.05,5348,true,okay,
driverlog,instance_1_1_2_3,nextflap,0.05,5340,true,okay,
driverlog,instance_1_1_3_1,nextflap,0.06,5276,true,okay,
driverlog,instance_1_1_3_2,nextflap,0.07,5276,true,okay,
driverlog,instance_1_1_3_3,nextflap,0.06,5368,true,okay,
driverlog,instance_1_2_1_1,nextflap,0.05,5420,true,okay,
driverlog,instance_1_2_1_2,nextflap,0.05,5392,true,okay,
driverlog,instance_1_2_1_3,nextflap,0.05,5368,true,okay,
driverlog,instance_1_2_2_1,nextflap,0.06,5408,true,okay,
driverlog,instance_1_2_2_2,nextflap,0.06,5420,true,okay,
driverlog,instance_1_2_2_3,nextflap,0.06,5416,true,okay,
driverlog,instance_1_2_3_1,nextflap,0.06,5308,true,okay,
driverlog,instance_1_2_3_2,nextflap,0.05,5368,true,okay,
driverlog,instance_1_2_3_3,nextflap,0.06,5280,true,okay,
driverlog,instance_1_3_1_1,nextflap,0.05,5416,true,okay,
driverlog,instance_1_3_1_2,nextflap,0.05,5420,true,okay,
driverlog,instance_1_3_1_3,nextflap,0.05,5416,true,okay,
driverlog,instance_1_3_2_1,nextflap,0.05,5308,true,okay,
driverlog,instance_1_3_2_2,nextflap,0.05,5280,true,okay,
driverlog,instance_1_3_2_3,nextflap,0.06,5356,true,okay,
driverlog,instance_1_3_3_1,nextflap,0.05,5152,true,okay,
driverlog,instance_1_3_3_2,nextflap,0.05,5428,true,okay,
driverlog,instance_1_3_3_3,nextflap,0.06,5276,true,okay,
driverlog,instance_2_1_1_1,nextflap,0.06,5284,true,okay,
driverlog,instance_2_1_1_2,nextflap,0.05,5072,true,okay,
driverlog,instance_2_1_1_3,nextflap,0.05,5076,true,okay,
driverlog,instance_2_1_2_1,nextflap,0.05,5376,true,okay,
driverlog,instance_2_1_2_2,nextflap,0.06,5276,true,okay,
driverlog,instance_2_1_2_3,nextflap,0.06,5284,true,okay,
driverlog,instance_2_1_3_1,nextflap,0.05,5304,true,okay,
driverlog,instance_2_1_3_2,nextflap,0.06,5276,true,okay,
driverlog,instance_2_1_3_3,nextflap,0.07,5348,true,okay,
driverlog,instance_2_2_1_1,nextflap,0.06,5420,true,okay,
driverlog,instance_2_2_1_2,nextflap,0.05,5420,true,okay,
driverlog,instance_2_2_1_3,nextflap,0.05,5280,true,okay,
driverlog,instance_2_2_2_1,nextflap,0.05,5348,true,okay,
driverlog,instance_2_2_2_2,nextflap,0.05,5420,true,okay,
driverlog,instance_2_2_2_3,nextflap,0.07,5336,true,okay,
driverlog,instance_2_2_3_1,nextflap,0.05,5564,true,okay,
driverlog,instance_2_2_3_2,nextflap,0.05,5672,true,okay,
driverlog,instance_2_2_3_3,nextflap,0.06,5408,true,okay,
driverlog,instance_2_3_1_1,nextflap,0.05,5368,true,okay,
