domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_2,grounder,0.00,5392,true,okay,One way facts... Semaphore Facts... Envelope Facts... (pa r0) is an envelope fact One-shot actions... Integral variables... Variable bounds... Static numeric conditions... Duration bounds... TIL time window analysis... Bounding action timestamps due to time windows... Dominance constraints (excluding processes and events)... Damaging events... Dominance constraints (including processes and events)... Variable monotonicity... Max/min needed values for any single precondition... Irrelevant action pruning by backward reachability from goal... Uninterestingness criteria... Compression-safe actions... Compression-safe invariants... 50% of durative actions in this problem are compression safe -- Writing ground PDDL |
sync-impossible,instance_1_2,verified-encoder,0.00,5692,true,okay,okok+ Domain File: ./ground-pddl-problems/sync-impossible/instance_1_2_domain.pddl + Problem File: ./ground-pddl-problems/sync-impossible/instance_1_2_problem.pddl + Network File: ./muntax-dir/sync-impossible/instance_1_2.muntax + {"automata": [{"name": "main", "nodes": [{"id": 0, "name": "init", "invariant": ""}, {"id": 1, "name": "planning", "invariant": ""}, {"id": 2, "name": "goal", "invariant": ""}], "committed": [], "urgent": [0, 2], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 0", "label": "", "update": "planning_lock := 1, acts_active := 0, var_exd_r0 := 1, var_exc_r0 := 1"}, {"source": 1, "target": 2, "guard": "planning_lock = 1 && acts_active = 0 && var_pg_r0 = 1", "label": "", "update": "planning_lock := 2"}, {"source": 2, "target": 2, "guard": "", "label": "", "update": ""}]}, {"name": "act__c1_r0_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exc_r0 = 0 && lock_pb_r0_p0 = 0 && lock_pb_r0_p1 = 0 && var_exd_r0 = 1 && var_exc_r0 = 1 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c2_r0_ >= 0 && end__c1_r0_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c2_r0_ > 0 && end__c1_r0_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exc_r0 := 0, var_pb_r0_p0 := 0, var_pb_r0_p1 := 0, var_pa_r0 := 1, start__c1_r0_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c1_r0_ <= 2 && start__c1_r0_ >= 2", "label": "", "update": "end__c1_r0_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1 && lock_pa_r0 = 0 && var_pb_r0_p0 = 1 && var_pb_r0_p1 = 1", "label": "", "update": "acts_active := acts_active + -1, var_pa_r0 := 0, var_exc_r0 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c1_r0_ <= 2 && start__c1_r0_ >= 2", "label": "", "update": "end__c1_r0_ := 0"}]}, {"name": "act__c2_r0_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exc_r0 = 0 && lock_px_r0_p0 = 0 && lock_px_r0_p1 = 0 && var_exc_r0 = 1 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c2_r0_ >= 0 && end__c1_r0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c2_r0_ > 0 && end__c1_r0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exc_r0 := 0, var_px_r0_p0 := 0, var_px_r0_p1 := 0, start__c2_r0_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c2_r0_ <= 1 && start__c2_r0_ >= 1", "label": "", "update": "end__c2_r0_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1 && var_px_r0_p0 = 1 && var_px_r0_p1 = 1", "label": "", "update": "acts_active := acts_active + -1, var_exc_r0 := 1, var_pg_r0 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c2_r0_ <= 1 && start__c2_r0_ >= 1", "label": "", "update": "end__c2_r0_ := 0"}]}, {"name": "act__d_r0_p0_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exd_r0 = 0 && var_pa_r0 = 1 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c1_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c1_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exd_r0 := 0, var_pb_r0_p0 := 1, start__d_r0_p0_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p0_ <= 44 && start__d_r0_p0_ >= 44", "label": "", "update": "end__d_r0_p0_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1", "label": "", "update": "acts_active := acts_active + -1, var_exd_r0 := 1, var_px_r0_p0 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p0_ <= 44 && start__d_r0_p0_ >= 44", "label": "", "update": "end__d_r0_p0_ := 0"}]}, {"name": "act__d_r0_p1_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exd_r0 = 0 && var_pa_r0 = 1 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c1_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c1_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exd_r0 := 0, var_pb_r0_p1 := 1, start__d_r0_p1_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p1_ <= 48 && start__d_r0_p1_ >= 48", "label": "", "update": "end__d_r0_p1_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1", "label": "", "update": "acts_active := acts_active + -1, var_exd_r0 := 1, var_px_r0_p1 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p1_ <= 48 && start__d_r0_p1_ >= 48", "label": "", "update": "end__d_r0_p1_ := 0"}]}], "clocks": "start__c1_r0_, start__c2_r0_, start__d_r0_p0_, start__d_r0_p1_, end__c1_r0_, end__c2_r0_, end__d_r0_p0_, end__d_r0_p1_", "vars": "acts_active[0:4], planning_lock[0:2], lock_exd_r0[0:4], lock_exc_r0[0:4], lock_pa_r0[0:4], lock_px_r0_p0[0:4], lock_pb_r0_p0[0:4], lock_px_r0_p1[0:4], lock_pb_r0_p1[0:4], var_exd_r0[0:1], var_exc_r0[0:1], var_pa_r0[0:1], var_pg_r0[0:1], var_px_r0_p0[0:1], var_pb_r0_p0[0:1], var_px_r0_p1[0:1], var_pb_r0_p1[0:1]", "formula": "E<> main.goal", "broadcast": []} + Total Time: : 0.003 |
sync-impossible,instance_1_2,model-converter,0.01,12340,true,okay,|
sync-impossible,instance_1_2,tck-covreach,0.01,9648,true,okay,COVERED_STATES 172 MEMORY_MAX_RSS 9648 REACHABLE false RUNNING_TIME_SECONDS 0.00234247 STORED_STATES 214 VISITED_STATES 261 VISITED_TRANSITIONS 385 |
sync-impossible,instance_1_2,cert-conv,0.05,16008,true,okay,|
sync-impossible,instance_1_2,muntac-cert-check,0.03,23420,true,okay,** Configuration options ** * Deadlock: False * Implementation: 1 * Num Threads: 1 * Measuring CPU time: False Broadcast channels  Renaming Calculating ceiling Time for converting state space: 0.001 Number of discrete states: 167 Checking renaming Renaming network Automata after renaming ([], ([], ([(0, (1 = 0, ([], ((Sil 0), ([(1, 1), (0, 0), (9, 1), (10, 1)], ([9], 1)))))), (1, (1 = 1 && 0 = 0 && 12 = 1, ([], ((Sil 0), ([(1, 2)], ([9], 2)))))), (2, (true, ([], ((Sil 0), ([], ([9], 2))))))], [(0, [LE 9 0]), (2, [LE 9 0]), (1, [])]))) ([], ([], ([(0, (1 = 1 && 3 = 0 && 6 = 0 && 8 = 0 && 9 = 1 && 10 = 1, ([GT 1 0, GT 2 0, GT 3 0, GT 4 0, GT 5 0, GT 6 0, GT 7 0, GT 8 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0, GE 5 0, GE 6 0, GE 7 0, GE 8 0], ((Sil 0), ([(0, binop 0 1), (10, 0), (14, 0), (16, 0), (11, 1)], ([9, 1], 1)))))), (1, (1 = 1, ([], ((Sil 0), ([], ([9], 2)))))), (2, (1 = 1, ([GE 1 2, LE 1 2, GT 1 0, GT 2 0, GT 3 0, GT 4 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0], ((Sil 0), ([], ([9, 5], 3)))))), (3, (1 = 1 && 4 = 0 && 14 = 1 && 16 = 1, ([], ((Sil 0), ([(0, binop 0 -1), (11, 0), (10, 1)], ([9], 0)))))), (1, (1 = 1, ([GE 1 2, LE 1 2, GT 1 0, GT 2 0, GT 3 0, GT 4 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0], ((Sil 0), ([], ([9, 5], 3))))))], [(1, [LE 9 0]), (3, [LE 9 0]), (0, []), (2, [])]))) ([], ([], ([(0, (1 = 1 && 3 = 0 && 5 = 0 && 7 = 0 && 10 = 1, ([GT 1 0, GT 2 0, GT 5 0, GT 6 0, GT 7 0, GT 8 0, GE 1 0, GE 2 0, GE 5 0, GE 6 0, GE 7 0, GE 8 0], ((Sil 0), ([(0, binop 0 1), (10, 0), (13, 0), (15, 0)], ([9, 2], 1)))))), (1, (1 = 1, ([], ((Sil 0), ([], ([9], 2)))))), (2, (1 = 1, ([GE 2 1, LE 2 1, GT 1 0, GT 2 0, GT 7 0, GT 8 0, GE 1 0, GE 2 0, GE 7 0, GE 8 0], ((Sil 0), ([], ([9, 6], 3)))))), (3, (1 = 1 && 13 = 1 && 15 = 1, ([], ((Sil 0), ([(0, binop 0 -1), (10, 1), (12, 1)], ([9], 0)))))), (1, (1 = 1, ([GE 2 1, LE 2 1, GT 1 0, GT 2 0, GT 7 0, GT 8 0, GE 1 0, GE 2 0, GE 7 0, GE 8 0], ((Sil 0), ([], ([9, 6], 3))))))], [(1, [LE 9 0]), (3, [LE 9 0]), (0, []), (2, [])]))) ([], ([], ([(0, (1 = 1 && 2 = 0 && 11 = 1, ([GT 1 0, GT 5 0, GT 7 0, GT 8 0, GE 1 0, GE 5 0, GE 7 0, GE 8 0], ((Sil 0), ([(0, binop 0 1), (9, 0), (14, 1)], ([9, 3], 1)))))), (1, (1 = 1, ([], ((Sil 0), ([], ([9], 2)))))), (2, (1 = 1, ([GE 3 44, LE 3 44, GT 1 0, GT 2 0, GT 3 0, GT 4 0, GT 6 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0, GE 6 0], ((Sil 0), ([], ([9, 7], 3)))))), (3, (1 = 1, ([], ((Sil 0), ([(0, binop 0 -1), (9, 1), (13, 1)], ([9], 0)))))), (1, (1 = 1, ([GE 3 44, LE 3 44, GT 1 0, GT 2 0, GT 3 0, GT 4 0, GT 6 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0, GE 6 0], ((Sil 0), ([], ([9, 7], 3))))))], [(1, [LE 9 0]), (3, [LE 9 0]), (0, []), (2, [])]))) ([], ([], ([(0, (1 = 1 && 2 = 0 && 11 = 1, ([GT 1 0, GT 5 0, GT 7 0, GT 8 0, GE 1 0, GE 5 0, GE 7 0, GE 8 0], ((Sil 0), ([(0, binop 0 1), (9, 0), (16, 1)], ([9, 4], 1)))))), (1, (1 = 1, ([], ((Sil 0), ([], ([9], 2)))))), (2, (1 = 1, ([GE 4 48, LE 4 48, GT 1 0, GT 2 0, GT 3 0, GT 4 0, GT 6 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0, GE 6 0], ((Sil 0), ([], ([9, 8], 3)))))), (3, (1 = 1, ([], ((Sil 0), ([(0, binop 0 -1), (9, 1), (15, 1)], ([9], 0)))))), (1, (1 = 1, ([GE 4 48, LE 4 48, GT 1 0, GT 2 0, GT 3 0, GT 4 0, GT 6 0, GE 1 0, GE 2 0, GE 3 0, GE 4 0, GE 6 0], ((Sil 0), ([], ([9, 8], 3))))))], [(1, [LE 9 0]), (3, [LE 9 0]), (0, []), (2, [])]))) Renaming formula Renaming state Checking preconditions Running precond_mc Start state is in state list: passed Start state fulfills property: passed Start state is subsumed: passed Check property: passed State set invariant check: passed All check: : passed Target property check: : passed Time for certificate checking: 0.006 Certificate was accepted Time to check final state predicate: 0.000 Time for state space invariant check: 0.005 Time for loading certificate: 0.000 Time to check DBMs: 0.000 Time to check states: 0.000 Time to check ceiling: 0.000 Time for converting DBMs in certificate: 0.000 Time to deserialize certificate: 0.006 |
sync-impossible,instance_1_2,tamer-ctp,0.00,5344,false,1,ERROR: An error of type ParserError was thrown during the execution of TAMER. The reported error is: ParserError: syntax error at line 3 Command exited with non-zero status 1 |
sync-impossible,instance_1_2,tamer-ftp,0.00,5368,false,1,ERROR: An error of type ParserError was thrown during the execution of TAMER. The reported error is: ParserError: syntax error at line 3 Command exited with non-zero status 1 |
sync-impossible,instance_1_2,tamer-ctp-ground,0.00,5344,true,okay,No solution exists. |
sync-impossible,instance_1_2,tamer-ftp-ground,,,false,okay,|
